Station Name,Station Coordinates,Bikes Available,Name,Address,Coordinates,Rating
15th & Victoria (Trout Lake),"(49.256857, -123.065646)",5,Blenz Coffee,"2470 Commercial Dr (at E Broadway), Vancouver BC V5N 4B9","(49.262614, -123.069508)",4.9
Robson & Hornby,"(49.282758, -123.122092)",11,Turf,"1281 W Georgia St (at Jervis Street), Vancouver BC V6B 5N6","(49.288158, -123.126278)",No rating provided
Cardero & Robson,"(49.289255, -123.132677)",13,Blenz Coffee Robson - Bute,"1201 Robson St, Vancouver BC V6E 1C2","(49.286212, -123.126923)",No rating provided
1st & Scotia,"(49.2685027, -123.0975014)",16,Roasting Time,"2818 Main St, Vancouver BC V5T 0C1","(49.259916, -123.100752)",No rating provided
10th & Fraser,"(49.26151, -123.089413)",2,Lucky's Doughnuts,"2902 Main St, Vancouver BC V5T 3G3","(49.259164, -123.100851)",No rating provided
Ontario & 5th,"(49.266724, -123.104824)",13,Lucky's Doughnuts,"2902 Main St, Vancouver BC V5T 3G3","(49.259164, -123.100851)",No rating provided
Heather & 16th,"(49.256845, -123.120071)",1,City One Cafe,"954 King Edward Ave W, Vancouver BC V5Z 2E2","(49.249021, -123.126262)",No rating provided
Richards & Smithe,"(49.279259, -123.119145)",1,JJ House of Coffee,"402 Davie St, Vancouver BC V6B 2G3","(49.275181, -123.123791)",No rating provided
Robson & Beatty,"(49.277773, -123.114237)",16,Fuse Pan Asian Cafe,"181 Roundhouse Mews, Vancouver BC V6Z 2W3","(49.273493, -123.122349)",No rating provided
Maple Tree Square,"(49.283482, -123.103738)",7,Station Express Cafe,"601 Cordova St W (on Westcoast Express Platform), Vancouver BC V6B 1G1","(49.285474, -123.11169)",No rating provided
22nd & Main,"(49.25094, -123.101306)",1,Lucky's Doughnuts,"2902 Main St, Vancouver BC V5T 3G3","(49.259164, -123.100851)",No rating provided
Carrall & Seawall,"(49.276294, -123.106534)",4,Nusa Coffee,"310 Cordova St W, Vancouver BC V6B 1E8","(49.283549, -123.109741)",No rating provided
Charles & Woodland,"(49.2731, -123.0732)",1,Turk's Coffee Exchange,"1276 Commercial Dr, Vancouver BC V5L 3X4","(49.273221, -123.069352)",No rating provided
1st & Manitoba,"(49.27023, -123.10651)",17,Jammer Cafe Motors Inc,"350 8th Ave W, Vancouver BC","(49.263663, -123.112021)",No rating provided
St Catherines & 7th,"(49.264466, -123.085183)",17,Tigers Drink House,"505E 15th Ave E (at St. George St), Vancouver BC V5T 4S4","(49.257457, -123.093325)",No rating provided
Triumph & Victoria,"(49.283986, -123.065264)",2,Coho Coffee,"1370 E Georgia St, Vancouver BC V5L 2A8","(49.278368, -123.075549)",No rating provided
18th & Main,"(49.254667, -123.101389)",2,Lucky's Doughnuts,"2902 Main St, Vancouver BC V5T 3G3","(49.259164, -123.100851)",No rating provided
St Catherines & 10th,"(49.261353, -123.085333)",0,Artisan Tea Bar,"3578 Fraser St, Vancouver BC V5V 4C6","(49.253083, -123.08979)",No rating provided
Nelson & Richards,"(49.277844, -123.120942)",1,Inbtwn Cafe,"1625 Hornby St, Vancouver BC V6Z 2M2","(49.275053, -123.133757)",No rating provided
Arbutus & 10th,"(49.262835, -123.152626)",6,Forty Ninth Parallel,"2152 4th Ave W, Vancouver BC V6K 1N6","(49.267985, -123.154157)",No rating provided
Comox & Denman,"(49.288444, -123.139203)",11,Blenz Coffee Robson - Bute,"1201 Robson St, Vancouver BC V6E 1C2","(49.286212, -123.126923)",No rating provided
Prince Edward & 14th,"(49.258352, -123.096337)",1,Cultivate Tea,"2280 Main St, Vancouver BC","(49.25248, -123.101174)",No rating provided
Alexander & Railway,"(49.283992, -123.091206)",7,Mr. Coffee,"39 Pender St E (btwn Carrall & Columbia St), Vancouver BC V6A 1S9","(49.280346, -123.103545)",No rating provided
Chilco & Beach,"(49.28972, -123.144028)",10,Daily Grind Cafe,"1500 Georgia St W (Nicola), Vancouver BC V6G 2Z6","(49.290052, -123.130334)",No rating provided
Richards & Cordova,"(49.284554, -123.111031)",14,Cultured Coffee & Tea,"678 Dunsmuir St (in Granville SkyTrain Station), Vancouver BC V6B 1N3","(49.283427, -123.116383)",No rating provided
Agronomy & East Mall,"(49.2617360647494, -123.246483808594)",15,Ike's Café,"1961 East Mall, Vancouver BC V6T 1Z1","(49.267575, -123.252382)",5.0
Orchard Commons,"(49.259999, -123.250902)",10,Ike's Café,"1961 East Mall, Vancouver BC V6T 1Z1","(49.267575, -123.252382)",5.0
Yew & Broadway,"(49.263523, -123.155267)",2,Forty Ninth Parallel,"2152 4th Ave W, Vancouver BC V6K 1N6","(49.267985, -123.154157)",No rating provided
Woodland & 10th,"(49.261263, -123.073707)",5,Chance Cafe,"3424 Commercial St (Victoria Diversion), Vancouver BC V5N 4E9","(49.253925, -123.067799)",No rating provided
Ontario & 16th,"(49.256825, -123.105234)",0,Jammer Cafe Motors Inc,"350 8th Ave W, Vancouver BC","(49.263663, -123.112021)",No rating provided
14th & Alder,"(49.258819, -123.131317)",2,Blenz Coffee,"695 Broadway W (at Heather St.), Vancouver BC V5Z 1G6","(49.263448, -123.119627)",5.3
Chestnut & McNicoll,"(49.275938, -123.145939)",4,Tru Cafe,"1500 2nd Ave W, Vancouver BC V6J 1H2","(49.269427, -123.138548)",No rating provided
Dunbar & 6th,"(49.266636, -123.183661)",16,Artistry Coffee Shop,"2959 4th Ave W, Vancouver BC V6K 1R3","(49.268615, -123.170754)",No rating provided
Stanley Park - Vancouver Aquarium,"(49.299292, -123.130281)",2,Blue Edge Cafe,"510 Nicola St, Vancouver BC V6G 3J7","(49.290839, -123.127481)",5.5
Yaletown-Roundhouse Station,"(49.274566, -123.121817)",8,Starbucks,"720 Granville St, Vancouver BC V6Z 1E4","(49.282058, -123.118456)",No rating provided
Smithe & Burrard,"(49.282503, -123.124697)",5,Analog Coffee,"338 Helmcken St (Hamilton), Vancouver BC V6B 6C5","(49.275691, -123.121158)",No rating provided
Abbott & Cordova,"(49.282759, -123.106955)",13,The Bakery,"566 Powell St (Princess Ave), Vancouver BC V6A 1G9","(49.279631, -123.108028)",No rating provided
Sasamat & 10th,"(49.264019, -123.209176)",7,Little Umbrella Coffee Shop,"4372 10th Ave W, Vancouver BC V6R 2H7","(49.263597, -123.205023)",No rating provided
Vine & 4th,"(49.268339, -123.157443)",1,Forty Ninth Parallel,"2152 4th Ave W, Vancouver BC V6K 1N6","(49.267985, -123.154157)",No rating provided
10th & Ontario,"(49.262062, -123.104656)",1,Jammer Cafe Motors Inc,"350 8th Ave W, Vancouver BC","(49.263663, -123.112021)",No rating provided
Pine & 10th,"(49.262822, -123.14338)",1,Forty Ninth Parallel,"2152 4th Ave W, Vancouver BC V6K 1N6","(49.267985, -123.154157)",No rating provided
Wallace & 4th,"(49.268974, -123.190701)",6,C'est Mon Cafe,"3420W Broadway W, Vancouver BC V6R 2B3","(49.264138, -123.18018)",No rating provided
Pacific & Richards,"(49.273663, -123.127075)",5,Blenz Coffee Granville - Davie,"700 Davie St, Vancouver BC V6Z 1M6","(49.27722, -123.126642)",No rating provided
7th &  Alder,"(49.265198, -123.131043)",2,Cafe Ami,"899 12th Ave W, Vancouver BC V5Z 1M9","(49.260643, -123.124172)",5.0
Canada Place,"(49.287214, -123.11287)",9,Koffee,"1050 Pender St W, Vancouver BC V6E 3S7","(49.287478, -123.119081)",No rating provided
Heather & 18th,"(49.255034, -123.120226)",4,City One Cafe,"954 King Edward Ave W, Vancouver BC V5Z 2E2","(49.249021, -123.126262)",No rating provided
14th & Oak,"(49.258761, -123.127071)",0,Blenz Coffee,"521W Broadway W (at Cambie St), Vancouver BC V5Z 1E6","(49.263421, -123.115731)",5.4
Bute & Comox,"(49.283343, -123.131099)",7,Yaas Café & Gelateria,"1040 Denman St (at Comox St), Vancouver BC V6G 2M5","(49.288734, -123.139307)",No rating provided
Comox & Broughton,"(49.285253, -123.134356)",0,3 Diamonds Organic Cafe,"1090 Howe St, Vancouver BC","(49.278903, -123.125163)",No rating provided
Station & Terminal,"(49.272172, -123.097978)",8,Mr. Coffee,"39 Pender St E (btwn Carrall & Columbia St), Vancouver BC V6A 1S9","(49.280346, -123.103545)",No rating provided
Stanley Park - Third Beach Parking Lot,"(49.302577, -123.155616)",11,Mr. Coffee,"39 Pender St E (btwn Carrall & Columbia St), Vancouver BC V6A 1S9","(49.280346, -123.103545)",No rating provided
Woodland & 4th,"(49.266751, -123.073501)",0,Turk's Coffee Exchange,"1276 Commercial Dr, Vancouver BC V5L 3X4","(49.273221, -123.069352)",No rating provided
8th & Ash,"(49.264215, -123.117772)",2,Jammer Cafe Motors Inc,"350 8th Ave W, Vancouver BC","(49.263663, -123.112021)",No rating provided
Burrard & Drake,"(49.27808, -123.130557)",0,Blenz Coffee Robson - Bute,"1201 Robson St, Vancouver BC V6E 1C2","(49.286212, -123.126923)",No rating provided
10th & Kingsway,"(49.261973, -123.09725)",1,Lucky's Doughnuts,"2902 Main St, Vancouver BC V5T 3G3","(49.259164, -123.100851)",No rating provided
10th & Oak,"(49.262255, -123.126217)",1,Murchie's Fine Tea,"1501 Broadway W (Granville Street), Vancouver BC V6J 4Z6","(49.263764, -123.138955)",No rating provided
Hawks & Union,"(49.277333, -123.087359)",9,Waves Coffee House,"495 Main St (at E Pender), Vancouver BC V6A 2T7","(49.280551, -123.099912)",5.5
Marinaside & Cooperage,"(49.273833, -123.114373)",22,Blenz Coffee Granville - Davie,"700 Davie St, Vancouver BC V6Z 1M6","(49.27722, -123.126642)",No rating provided
Alberni & Jervis,"(49.28763, -123.127245)",13,Nami Vietnamese,"885 W Georgia St, Vancouver BC V6C 2G2","(49.285465, -123.120126)",No rating provided
7th & Arbutus,"(49.265605, -123.152566)",7,Forty Ninth Parallel,"2152 4th Ave W, Vancouver BC V6K 1N6","(49.267985, -123.154157)",No rating provided
14th & Ontario,"(49.25849, -123.104799)",1,Jammer Cafe Motors Inc,"350 8th Ave W, Vancouver BC","(49.263663, -123.112021)",No rating provided
King Edward & Cambie,"(49.249184, -123.116141)",1,City One Cafe,"954 King Edward Ave W, Vancouver BC V5Z 2E2","(49.249021, -123.126262)",No rating provided
1st & Fir,"(49.270783, -123.141564)",7,Forty Ninth Parallel,"2152 4th Ave W, Vancouver BC V6K 1N6","(49.267985, -123.154157)",No rating provided
Arbutus & 16th,"(49.257654, -123.153212)",1,Arbutus Coffee & Real Food Market,"2200 Arbutus St, Vancouver BC V6J 3Y1","(49.266106, -123.152618)",No rating provided
War Memorial Gym,"(49.2665793, -123.2485487)",3,Reboot Cafe,"2366 Main Mall (ICICS/CS Building), Vancouver BC V6T 1Z4","(49.261299, -123.249405)",No rating provided
28th & Willow,"(49.246243, -123.124373)",9,City One Cafe,"954 King Edward Ave W, Vancouver BC V5Z 2E2","(49.249021, -123.126262)",No rating provided
Arbutus Greenway & Fir,"(49.266774, -123.141135)",3,Forty Ninth Parallel,"2152 4th Ave W, Vancouver BC V6K 1N6","(49.267985, -123.154157)",No rating provided
West Mall Swing Space Building,"(49.263073, -123.254307)",18,Starbucks,"6138 Student Union Blvd (in Pacific Spirit Pl.), Vancouver BC V6T 1Z1","(49.267418, -123.25018)",5.1
McLean & Pender,"(49.280427, -123.074082)",13,Turk's Coffee Exchange,"1276 Commercial Dr, Vancouver BC V5L 3X4","(49.273221, -123.069352)",No rating provided
Bute & Barclay,"(49.284893, -123.128685)",5,Nami Vietnamese,"885 W Georgia St, Vancouver BC V6C 2G2","(49.285465, -123.120126)",No rating provided
Balsam & Cornwall,"(49.273011, -123.159663)",0,Forty Ninth Parallel,"2152 4th Ave W, Vancouver BC V6K 1N6","(49.267985, -123.154157)",No rating provided
Hastings & Broughton,"(49.290112, -123.127062)",17,888 Caffe Express,"888 Dunsmuir St, Vancouver BC V6C 3K4","(49.284616, -123.118269)",No rating provided
Seymour & Cordova,"(49.28512, -123.11242)",13,Java Cat Cafe,"515 Hamilton St (Pender), Vancouver BC V6B 2R1","(49.281804, -123.111864)",No rating provided
Alder & 11th,"(49.261742, -123.13148)",0,Blenz Coffee,"695 Broadway W (at Heather St.), Vancouver BC V5Z 1G6","(49.263448, -123.119627)",5.3
10th & Columbia,"(49.262206, -123.109091)",1,Lucky's Doughnuts,"2902 Main St, Vancouver BC V5T 3G3","(49.259164, -123.100851)",No rating provided
Heather & 14th,"(49.259183, -123.120126)",1,Jammer Cafe Motors Inc,"350 8th Ave W, Vancouver BC","(49.263663, -123.112021)",No rating provided
Commercial & 20th,"(49.252656, -123.067965)",1,Cedar Cottage Coffee House,"1303 Kingsway (at Clark Dr.), Vancouver BC V5V 3E3","(49.251258, -123.077794)",No rating provided
Kitsilano Beach Park,"(49.273355, -123.154493)",17,Forty Ninth Parallel,"2152 4th Ave W, Vancouver BC V6K 1N6","(49.267985, -123.154157)",No rating provided
Rolston & Granville,"(49.274232, -123.129998)",10,Blenz Coffee Granville - Davie,"700 Davie St, Vancouver BC V6Z 1M6","(49.27722, -123.126642)",No rating provided
Cordova & Bute,"(49.289124, -123.12196)",12,Cafe Monaco,"356 Water St, Vancouver BC V6B 1B6","(49.284445, -123.110223)",No rating provided
12th & Yukon (City Hall),"(49.260599, -123.113504)",2,Lucky's Doughnuts,"2902 Main St, Vancouver BC V5T 3G3","(49.259164, -123.100851)",No rating provided
Blenheim & 4th,"(49.268837, -123.177633)",9,Good Earth Coffee House,"2505 Alma St (Broadway), Vancouver BC V6R 3R8","(49.26411, -123.186096)",No rating provided
Wylie & 2nd,"(49.267725, -123.11311)",14,Jammer Cafe Motors Inc,"350 8th Ave W, Vancouver BC","(49.263663, -123.112021)",No rating provided
Thurlow & Pendrell,"(49.280881, -123.130672)",0,Blenz Coffee Granville - Davie,"700 Davie St, Vancouver BC V6Z 1M6","(49.27722, -123.126642)",No rating provided
14th & Cambie,"(49.258763, -123.115392)",2,Jammer Cafe Motors Inc,"350 8th Ave W, Vancouver BC","(49.263663, -123.112021)",No rating provided
Granville & Georgia,"(49.282409, -123.118541)",18,Saunter Coffee,"321 Pender St W, Vancouver BC V6B 1T3","(49.282484, -123.111029)",No rating provided
Grant & Commercial,"(49.271377, -123.069416)",0,Turk's Coffee Exchange,"1276 Commercial Dr, Vancouver BC V5L 3X4","(49.273221, -123.069352)",No rating provided
8th & Ontario,"(49.263837, -123.105173)",3,Lucky's Doughnuts,"2902 Main St, Vancouver BC V5T 3G3","(49.259164, -123.100851)",No rating provided
Hornby & Nelson,"(49.28062, -123.12482)",4,Cultured Coffee & Tea,"678 Dunsmuir St (in Granville SkyTrain Station), Vancouver BC V6B 1N3","(49.283427, -123.116383)",No rating provided
šxʷƛ̓ənəq Xwtl'e7énḵ Square - Vancouver Art Gallery,"(49.283227, -123.120523)",7,Java Cat Cafe,"515 Hamilton St (Pender), Vancouver BC V6B 2R1","(49.281804, -123.111864)",No rating provided
Dunsmuir & Beatty,"(49.279764, -123.110154)",16,Cafe Monaco,"356 Water St, Vancouver BC V6B 1B6","(49.284445, -123.110223)",No rating provided
Robson & Granville,"(49.281506, -123.120101)",2,Blenz Coffee,"1203 Davie St (at Bute St), Vancouver BC V6E 1N4","(49.281941, -123.133372)",6.0
4th & Commercial,"(49.266969, -123.069936)",0,Turk's Coffee Exchange,"1276 Commercial Dr, Vancouver BC V5L 3X4","(49.273221, -123.069352)",No rating provided
8th & Scotia,"(49.263635, -123.099236)",1,Jammer Cafe Motors Inc,"350 8th Ave W, Vancouver BC","(49.263663, -123.112021)",No rating provided
Homer & Robson (Vancouver Public Library),"(49.279739, -123.116251)",3,Black Echo Coffee,"1144 Mainland St (btwn Helmcken & Davie), Vancouver BC V6B 2T9","(49.274883, -123.121251)",No rating provided
7th & Granville,"(49.2653, -123.13811)",5,Dalina,"992 West Broadway (Oak Street), Vancouver BC V5Z 1K7","(49.263171, -123.126091)",No rating provided
Harwood & Bute,"(49.28026, -123.135244)",2,Blenz Coffee Robson - Bute,"1201 Robson St, Vancouver BC V6E 1C2","(49.286212, -123.126923)",No rating provided
Creekside Park North,"(49.2756, -123.102661)",9,Bubble King Tea House,"88 Pender St W, Vancouver BC V6B 6N9","(49.280213, -123.107023)",No rating provided
Nicola & Robson,"(49.2885056, -123.1312375)",2,Connoisseurs' Coffee,"1075 Georgia St W (Thurlow), Vancouver BC V6E 3C9","(49.285738, -123.12234)",No rating provided
10th & Commercial,"(49.261403, -123.070102)",7,Liberty Commercial Drive,"1670 Commercial Dr (1st Avenue), Vancouver BC","(49.269885, -123.069313)",No rating provided
10th & Cambie,"(49.262487, -123.114397)",8,Jammer Cafe Motors Inc,"350 8th Ave W, Vancouver BC","(49.263663, -123.112021)",No rating provided
Quebec & 1st,"(49.27033, -123.10275)",9,Momento Coffee House,"577 Great Northern Way, Vancouver BC V5T 1E1","(49.267234, -123.090505)",No rating provided
Lakewood & Oxford,"(49.285575, -123.061575)",5,The Narcissus,"1701 Powell St (Commercial Drive), Vancouver BC V5L 5C9","(49.284167, -123.070117)",No rating provided
Carolina & Great Northern Way,"(49.267266, -123.090786)",12,Novella Coffee Bar,"2650 Main St (E 11th Ave), Vancouver BC V5T 3E6","(49.261311, -123.10079)",No rating provided
Columbia & 5th,"(49.266476, -123.109389)",18,Jammer Cafe Motors Inc,"350 8th Ave W, Vancouver BC","(49.263663, -123.112021)",No rating provided
East Blvd & 37th,"(49.238105, -123.154966)",13,Rose House Vancouver,"5687 Balsam St (W 41st Av. at Balsam St.), Vancouver BC V6M 4B5","(49.23503, -123.161628)",No rating provided
Trafalgar & Cornwall,"(49.272969, -123.164325)",5,Forty Ninth Parallel,"2152 4th Ave W, Vancouver BC V6K 1N6","(49.267985, -123.154157)",No rating provided
5th & Arbutus,"(49.267222, -123.153157)",3,Forty Ninth Parallel,"2152 4th Ave W, Vancouver BC V6K 1N6","(49.267985, -123.154157)",No rating provided
Stanley Park - Information Booth,"(49.297933, -123.130758)",1,Market Veranda,"1610 Robson St, Vancouver BC V6G 1C7","(49.289558, -123.132807)",No rating provided
14th & Main,"(49.258425, -123.100792)",0,Cultivate Tea,"2280 Main St, Vancouver BC","(49.25248, -123.101174)",No rating provided
Georgia & Main,"(49.278529, -123.100017)",17,Bubble King Tea House,"88 Pender St W, Vancouver BC V6B 6N9","(49.280213, -123.107023)",No rating provided
Alma & Point Grey,"(49.27247, -123.185643)",5,Storm City Coffee,"3403 Broadway W, Vancouver BC V6R 2B4","(49.264401, -123.180121)",No rating provided
20th & Main,"(49.252691, -123.101289)",4,Lucky's Doughnuts,"2902 Main St, Vancouver BC V5T 3G3","(49.259164, -123.100851)",No rating provided
Nelson & Mainland,"(49.276436, -123.11877)",6,VFS Cafe,"420 Homer St (Carrall), Vancouver BC","(49.283122, -123.110921)",No rating provided
Point Grey & Blenheim,"(49.271471, -123.17731)",9,JJ Bean,"2902 Broadway W (at MacKenzie St.), Vancouver BC V6K 2G8","(49.263843, -123.170506)",No rating provided
Yukon & 6th,"(49.265939, -123.1129)",12,Jammer Cafe Motors Inc,"350 8th Ave W, Vancouver BC","(49.263663, -123.112021)",No rating provided
Burrard & 7th,"(49.265336, -123.145823)",3,Forty Ninth Parallel,"2152 4th Ave W, Vancouver BC V6K 1N6","(49.267985, -123.154157)",No rating provided
14th & Granville,"(49.25894, -123.139272)",5,Whitewood Coffee Ltd,"3208 Oak St, Vancouver BC V6H 2L3","(49.256895, -123.126934)",No rating provided
Wall & Eton,"(49.287464, -123.060771)",14,Steam Tea House,"2342 Hastings St E (E Hastings St & Nanaimo St), Vancouver BC V5L 1V5","(49.280849, -123.057015)",No rating provided
Beach & Cardero,"(49.283298, -123.142288)",6,Market Veranda,"1610 Robson St, Vancouver BC V6G 1C7","(49.289558, -123.132807)",No rating provided
Cypress & 4th,"(49.268269, -123.147885)",14,Forty Ninth Parallel,"2152 4th Ave W, Vancouver BC V6K 1N6","(49.267985, -123.154157)",No rating provided
Bute & Robson,"(49.285836, -123.127265)",0,Daily Grind Cafe,"1500 Georgia St W (Nicola), Vancouver BC V6G 2Z6","(49.290052, -123.130334)",No rating provided
Richards & Robson,"(49.280216, -123.117639)",2,VFS Cafe,"420 Homer St (Carrall), Vancouver BC","(49.283122, -123.110921)",No rating provided
Glen & Union,"(49.277469, -123.081315)",13,Turk's Coffee Exchange,"1276 Commercial Dr, Vancouver BC V5L 3X4","(49.273221, -123.069352)",No rating provided
8th & Yukon,"(49.263962, -123.112621)",0,Jammer Cafe Motors Inc,"350 8th Ave W, Vancouver BC","(49.263663, -123.112021)",No rating provided
1st & Chestnut,"(49.270721, -123.146175)",22,Forty Ninth Parallel,"2152 4th Ave W, Vancouver BC V6K 1N6","(49.267985, -123.154157)",No rating provided
10th & Main,"(49.262141, -123.101961)",0,Jammer Cafe Motors Inc,"350 8th Ave W, Vancouver BC","(49.263663, -123.112021)",No rating provided
Georgia & Homer,"(49.280787, -123.115271)",5,Cafe Monaco,"356 Water St, Vancouver BC V6B 1B6","(49.284445, -123.110223)",No rating provided
York & Yew,"(49.271741, -123.155421)",12,Forty Ninth Parallel,"2152 4th Ave W, Vancouver BC V6K 1N6","(49.267985, -123.154157)",No rating provided
Ontario & Seawall,"(49.271721, -123.104207)",16,Bubble King Tea House,"88 Pender St W, Vancouver BC V6B 6N9","(49.280213, -123.107023)",No rating provided
10th & Granville,"(49.262598, -123.138921)",10,M R Coffee Ltd,"1612 1st Ave W, Vancouver BC V6J 1G1","(49.270961, -123.140706)",No rating provided
15th & Knight,"(49.256496, -123.075426)",6,Blenz Coffee,"2470 Commercial Dr (at E Broadway), Vancouver BC V5N 4B9","(49.262614, -123.069508)",4.9
Ontario & 23rd,"(49.249722, -123.104991)",0,Cultivate Tea,"2280 Main St, Vancouver BC","(49.25248, -123.101174)",No rating provided
Dunbar & Broadway,"(49.264579, -123.18373)",25,JJ Bean,"2902 Broadway W (at MacKenzie St.), Vancouver BC V6K 2G8","(49.263843, -123.170506)",No rating provided
Carrall & Hastings,"(49.28117, -123.104419)",10,Nusa Coffee,"310 Cordova St W, Vancouver BC V6B 1E8","(49.283549, -123.109741)",No rating provided
8th & Commercial,"(49.263242, -123.070521)",9,Liberty Commercial Drive,"1670 Commercial Dr (1st Avenue), Vancouver BC","(49.269885, -123.069313)",No rating provided
Charleson Park,"(49.267628, -123.127698)",8,Cafe Ami,"899 12th Ave W, Vancouver BC V5Z 1M9","(49.260643, -123.124172)",5.0
Beach & Hornby,"(49.275295, -123.132585)",18,Blenz Coffee Granville - Davie,"700 Davie St, Vancouver BC V6Z 1M6","(49.27722, -123.126642)",No rating provided
Princess & Union,"(49.277615, -123.091654)",6,Cookies of Course,"401 Industrial Ave (at Station St), Vancouver BC V6A 2P8","(49.269687, -123.095905)",No rating provided
3rd & Quebec,"(49.268216, -123.103168)",10,Jammer Cafe Motors Inc,"350 8th Ave W, Vancouver BC","(49.263663, -123.112021)",No rating provided
Stanley Park - Second Beach South,"(49.294318, -123.148808)",16,Yaas Café & Gelateria,"1040 Denman St (at Comox St), Vancouver BC V6G 2M5","(49.288734, -123.139307)",No rating provided
6th & Carolina,"(49.265213, -123.090785)",0,Lucky's Doughnuts,"2902 Main St, Vancouver BC V5T 3G3","(49.259164, -123.100851)",No rating provided
UBC Bookstore,"(49.265207, -123.250139)",4,Ike's Café,"1961 East Mall, Vancouver BC V6T 1Z1","(49.267575, -123.252382)",5.0
Balaclava & Broadway,"(49.264483, -123.173926)",14,Good Earth Coffee House,"2505 Alma St (Broadway), Vancouver BC V6R 3R8","(49.26411, -123.186096)",No rating provided
Expo & Carrall,"(49.278004, -123.105664)",14,Waves Coffee House,"492 Hastings St W (at Richards St), Vancouver BC V6B 1L1","(49.283858, -123.111876)",5.7
Beach & Seymour,"(49.273568, -123.129935)",9,Blenz Coffee Granville - Davie,"700 Davie St, Vancouver BC V6Z 1M6","(49.27722, -123.126642)",No rating provided
27th & Main,"(49.247204, -123.101549)",2,Cultivate Tea,"2280 Main St, Vancouver BC","(49.25248, -123.101174)",No rating provided
Stanley Park - Second Beach North,"(49.29534, -123.150433)",14,Cultivate Tea,"2280 Main St, Vancouver BC","(49.25248, -123.101174)",No rating provided
Keith & 6th,"(49.265005, -123.079481)",18,Blenz Coffee,"2470 Commercial Dr (at E Broadway), Vancouver BC V5N 4B9","(49.262614, -123.069508)",4.9
Jericho Beach,"(49.271221, -123.191133)",6,Nebur-King Coffee Group,"3646W Broadway W (at Alma St), Vancouver BC V6R 2B7","(49.264157, -123.184722)",No rating provided
Point Grey & Bayswater,"(49.271044, -123.170661)",15,JJ Bean,"2902 Broadway W (at MacKenzie St.), Vancouver BC V6K 2G8","(49.263843, -123.170506)",No rating provided
7th & Woodland,"(49.264251, -123.073853)",6,Abruzzo Cappuccino Bar,"1321 Commercial Dr (Charles), Vancouver BC V5L 3X5","(49.272758, -123.069718)",No rating provided
Aquatic Centre,"(49.27821, -123.136972)",5,Blenz Coffee Granville - Davie,"700 Davie St, Vancouver BC V6Z 1M6","(49.27722, -123.126642)",No rating provided
Georgia & Thurlow,"(49.285953, -123.124066)",2,3 Diamonds Organic Cafe,"1090 Howe St, Vancouver BC","(49.278903, -123.125163)",No rating provided
Cordova & Granville,"(49.2856698, -123.1125432)",12,Cultured Coffee & Tea,"678 Dunsmuir St (in Granville SkyTrain Station), Vancouver BC V6B 1N3","(49.283427, -123.116383)",No rating provided
Vanier Park,"(49.275717, -123.142564)",16,Latin Square,"1105 Davie St (Thurlow Street), Vancouver BC","(49.280726, -123.131159)",No rating provided
Trafalgar & Broadway,"(49.264326, -123.164725)",6,Forty Ninth Parallel,"2152 4th Ave W, Vancouver BC V6K 1N6","(49.267985, -123.154157)",No rating provided
